Name,Type,Cup_size,Sugar_Level,Milk_Level,Count,Date
Espresso,Coffee,Medium,3,2,1,2024-05-22 10:24:54
Espresso,Coffee,Small,1,1,1,2024-05-22 10:24:58
Espresso,Coffee,Large,4,2,1,2024-05-22 10:25:02
Cuppaccino,Coffee,Small,2,2,1,2024-05-22 10:25:07
Americano,Coffee,Large,1,2,1,2024-05-22 10:25:11
Americano,Coffee,Large,2,2,1,2024-05-22 10:25:16
Macchiato,Coffee,Small,2,1,1,2024-05-22 10:25:20
Latte,Coffee,Small,1,1,1,2024-05-22 10:25:25
Cuppaccino,Coffee,Large,1,4,1,2024-05-22 10:25:30
Latte,Coffee,Medium,1,1,1,2024-05-22 10:38:30
Cuppaccino,Coffee,Small,3,1,1,2024-05-22 10:38:33
Mocha,Coffee,Medium,3,0,1,2024-05-22 10:38:36
Macchiato,Coffee,Medium,3,2,1,2024-05-22 10:38:40
Americano,Coffee,Small,3,1,1,2024-05-22 10:38:43
Latte,Coffee,Medium,3,1,1,2024-05-22 10:40:48
Cuppaccino,Coffee,Medium,3,1,1,2024-05-22 10:40:51
Americano,Coffee,Medium,3,1,1,2024-05-22 10:40:54
Macchiato,Coffee,Small,2,1,1,2024-05-22 10:40:59
Americano,Coffee,Medium,2,1,1,2024-05-22 10:41:05
Cuppaccino,Coffee,Large,3,1,1,2024-05-22 10:42:39
Espresso,Coffee,Medium,3,1,1,2024-05-22 10:42:43
Latte,Coffee,Medium,3,1,1,2024-05-22 10:42:47
Macchiato,Coffee,Medium,3,1,1,2024-05-22 10:42:51
Americano,Coffee,Large,3,1,1,2024-05-22 10:42:54
Mocha,Coffee,Small,3,1,1,2024-05-22 10:42:58
Cuppaccino,Coffee,Medium,2,1,1,2024-05-22 10:45:32
Latte,Coffee,Medium,2,1,1,2024-05-22 10:46:19
Cuppaccino,Coffee,Medium,2,1,1,2024-05-22 10:55:56
Espresso,Coffee,Small,2,1,1,2024-05-22 10:55:59
Latte,Coffee,Small,2,1,1,2024-05-22 10:56:01
Latte,Coffee,Small,1,1,1,2024-05-22 14:33:13
Espresso,Coffee,Medium,2,1,1,2024-05-23 09:24:06
Cuppaccino,Coffee,Large,3,1,1,2024-05-23 09:24:10
Americano,Coffee,Small,2,1,1,2024-05-23 09:24:15
Mocha,Coffee,Small,3,1,1,2024-05-23 09:24:20
Latte,Coffee,Large,4,1,1,2024-05-23 09:24:25
